Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Planar_ID	Overlap_Verbal	Overlap_Verbal_Extended	Overlap_Nominal	Test_Labels	Analysis_Type	PW_Pattern	Notes	Tests_Total
1	Araona	arao1248	arao1248_v_ciscategorial.selection_maximal_broad	morphosyntactic	ciscategorial.selection	NA	maximal	broad	1	17	2	0.11	17	1	17	18	arao1248_verbal	6	NA	NA	Ciscat. Sel. Max. broad	constituency	morphosyntactic	NA	19
2	Araona	arao1248	arao1248_v_ciscategorial.selection_maximal_narrow	morphosyntactic	ciscategorial.selection	NA	maximal	narrow	4	15	3	0.16	12	0.71	17	18	arao1248_verbal	6	NA	NA	Ciscat. Sel. Max. narrow	constituency	morphosyntactic	NA	19
3	Araona	arao1248	arao1248_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	6	13	1	0.05	8	0.47	17	18	arao1248_verbal	6	NA	NA	Ciscat. Sel. Min.	constituency	morphosyntactic	NA	19
4	Araona	arao1248	arao1248_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	4	17	2	0.11	14	0.82	17	18	arao1248_verbal	6	NA	NA	Free Ocurr. Max.	constituency	indeterminate	NA	19
5	Araona	arao1248	arao1248_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	6	6	5	0.26	1	0.06	17	18	arao1248_verbal	6	NA	NA	Free Ocurr. Min.	constituency	indeterminate	NA	19
6	Araona	arao1248	arao1248_v_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	4	16	1	0.05	13	0.76	17	18	arao1248_verbal	6	NA	NA	Non-interrupt. Compl.	constituency	morphosyntactic	NA	19
7	Araona	arao1248	arao1248_v_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	6	6	5	0.26	1	0.06	17	18	arao1248_verbal	6	NA	NA	Non-interrupt. Simpl.	constituency	morphosyntactic	NA	19
8	Araona	arao1248	arao1248_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	6	6	5	0.26	1	0.06	17	18	arao1248_verbal	6	NA	NA	Non-permut.	constituency	morphosyntactic	NA	19
9	Araona	arao1248	arao1248_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	4	6	2	0.11	3	0.18	17	18	arao1248_verbal	6	NA	NA	Non-permut. Scope	constituency	morphosyntactic	NA	19
10	Araona	arao1248	arao1248_v_recursion.based_maximal	morphosyntactic	recursion.based	NA	maximal	NA	4	15	3	0.16	12	0.71	17	18	arao1248_verbal	6	NA	NA	Subspan Rep. Max.	constituency	morphosyntactic	NA	19
11	Araona	arao1248	arao1248_v_recursion.based_maximal_tso.marked	morphosyntactic	recursion.based	NA	maximal	tso.marked	1	17	2	0.11	17	1	17	18	arao1248_verbal	6	NA	NA	Subspan Rep. Tso Max.	constituency	morphosyntactic	NA	19
12	Araona	arao1248	arao1248_v_recursion.based_minimal	indeterminate	recursion.based	NA	minimal	NA	6	6	5	0.26	1	0.06	17	18	arao1248_verbal	6	NA	NA	Subspan Rep. Min.	constituency	indeterminate	NA	19
13	Araona	arao1248	arao1248_v_recursion.based_minimal_tso.marked	indeterminate	recursion.based	NA	minimal	tso.marked	4	14	1	0.05	11	0.65	17	18	arao1248_verbal	6	NA	NA	Subspan Rep. Tso Min.	constituency	morphosyntactic	NA	19
14	Araona	arao1248	arao1248_v_segmental_vowel.deletion_e.deletion	phonological	segmental	vowel.deletion	NA	e.deletion	4	6	2	0.11	3	0.18	17	18	arao1248_verbal	6	NA	NA	E-Deletion	constituency	deletion	NA	19
15	Araona	arao1248	arao1248_v_segmental_vowel.deletion_maximal_vowel.deletion	phonological	segmental	vowel.deletion	maximal	vowel.deletion	6	14	1	0.05	9	0.53	17	18	arao1248_verbal	6	NA	NA	V-Syncope Max.	constituency	deletion	NA	19
16	Araona	arao1248	arao1248_v_segmental_vowel.deletion_minimal_vowel.deletion	phonological	segmental	vowel.deletion	minimal	vowel.deletion	6	6	5	0.26	1	0.06	17	18	arao1248_verbal	6	NA	NA	V-Syncope Min.	constituency	deletion	NA	19
17	Araona	arao1248	arao1248_v_segmental_vowel.insertion_e.insert	phonological	segmental	vowel.insertion	NA	e.insert	4	15	3	0.16	12	0.71	17	18	arao1248_verbal	6	NA	NA	E-Insertion	constituency	insertion	NA	19
18	Araona	arao1248	arao1248_v_suprasegmental_accent_maximal	phonological	suprasegmental	accent	maximal	NA	4	17	2	0.11	14	0.82	17	18	arao1248_verbal	6	NA	NA	Pitch Accent Max.	constituency	stress	NA	19
19	Araona	arao1248	arao1248_v_suprasegmental_accent_minimal	phonological	suprasegmental	accent	minimal	NA	6	11	1	0.05	6	0.35	17	18	arao1248_verbal	6	NA	NA	Pitch Accent Min.	constituency	stress	NA	19
20	Ayautla Mazatec	ayau1235	ayau1235_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	15	28	7	0.23	14	0.47	30	31	ayau1235_verbal	19	NA	10	Ciscat. Sel. Max.	constituency	morphosyntactic	NA	30
21	Ayautla Mazatec	ayau1235	ayau1235_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	15	19	5	0.17	5	0.17	30	31	ayau1235_verbal	19	NA	10	Ciscat. Sel. Min.	constituency	morphosyntactic	NA	30
22	Ayautla Mazatec	ayau1235	ayau1235_v_deviations_allomorphy_maximal	indeterminate	deviations	allomorphy	maximal	NA	15	28	7	0.23	14	0.47	30	31	ayau1235_verbal	19	NA	10	Dev. Biunique. Max.	constituency	indeterminate	NA	30
23	Ayautla Mazatec	ayau1235	ayau1235_v_deviations_allomorphy_minimal	indeterminate	deviations	allomorphy	minimal	NA	15	19	5	0.17	5	0.17	30	31	ayau1235_verbal	19	NA	10	Dev. Biunique. Min.	constituency	indeterminate	NA	30
24	Ayautla Mazatec	ayau1235	ayau1235_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	15	28	7	0.23	14	0.47	30	31	ayau1235_verbal	19	NA	10	Min Free Form Max.	constituency	indeterminate	NA	30
25	Ayautla Mazatec	ayau1235	ayau1235_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	19	19	3	0.1	1	0.03	30	31	ayau1235_verbal	19	NA	10	Min Free Form Min.	constituency	indeterminate	NA	30
26	Ayautla Mazatec	ayau1235	ayau1235_v_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	6	28	2	0.07	23	0.77	30	31	ayau1235_verbal	19	NA	10	No-interrupt. Compl.	constituency	morphosyntactic	NA	30
27	Ayautla Mazatec	ayau1235	ayau1235_v_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	15	28	7	0.23	14	0.47	30	31	ayau1235_verbal	19	NA	10	No-interrupt. Simpl.	constituency	morphosyntactic	NA	30
28	Ayautla Mazatec	ayau1235	ayau1235_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	15	20	2	0.07	6	0.2	30	31	ayau1235_verbal	19	NA	10	Non-permut. Min.	constituency	morphosyntactic	NA	30
29	Ayautla Mazatec	ayau1235	ayau1235_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	13	21	1	0.03	9	0.3	30	31	ayau1235_verbal	19	NA	10	Non-permut. Max.	constituency	morphosyntactic	NA	30
30	Ayautla Mazatec	ayau1235	ayau1235_v_pausing_pause	phonological	pausing	NA	NA	pause	15	28	7	0.23	14	0.47	30	31	ayau1235_verbal	19	NA	10	Pause	constituency	pause	NA	30
31	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_asyndetic_verbal.parallelism	indeterminate	recursion.based	asyndetic	NA	verbal.parallelism	15	19	5	0.17	5	0.17	30	31	ayau1235_verbal	19	NA	10	Verbal Parallel.	constituency	morphosyntactic	NA	30
32	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_maximal_coordination	morphosyntactic	recursion.based	NA	maximal	coordination	2	29	1	0.03	28	0.93	30	31	ayau1235_verbal	19	NA	10	Coordination Max.	constituency	morphosyntactic	NA	30
33	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_minimal_coordination	indeterminate	recursion.based	NA	minimal	coordination	6	28	2	0.07	23	0.77	30	31	ayau1235_verbal	19	NA	10	Coordination Min.	constituency	morphosyntactic	NA	30
34	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_nominalization_maximal	morphosyntactic	recursion.based	nominalization	maximal	NA	3	29	1	0.03	27	0.9	30	31	ayau1235_verbal	19	NA	10	Nominaliz. Max.	constituency	morphosyntactic	with postverbal NP, absolute state marker ambiguous	30
35	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_nominalization_minimal	indeterminate	recursion.based	nominalization	minimal	NA	3	20	1	0.03	18	0.6	30	31	ayau1235_verbal	19	NA	10	Nominaliz. Min.	constituency	morphosyntactic	ends at absolute state marker	30
36	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_reduplication_total.reduplication	indeterminate	recursion.based	reduplication	NA	total.reduplication	15	19	5	0.17	5	0.17	30	31	ayau1235_verbal	19	NA	10	Total Redupl.	constituency	morphosyntactic	NA	30
37	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_syllabification_negative.evidence	phonological	segmental	syllabification	NA	negative.evidence	16	28	1	0.03	13	0.43	30	31	ayau1235_verbal	19	NA	10	Segm. Syllab. Negative	constituency	syllable	NA	30
38	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_syllabification_positive.evidence	phonological	segmental	syllabification	NA	positive.evidence	16	19	1	0.03	4	0.13	30	31	ayau1235_verbal	19	NA	10	Segm. Syllab. Positive	constituency	syllable	NA	30
39	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_vowel-consonant.dissimilation_maximal_*ɛ.j.constraint.negative.evidence	phonological	segmental	vowel-consonant.dissimilation	maximal	*ɛ.j.constraint.negative.evidence	13	25	1	0.03	13	0.43	30	31	ayau1235_verbal	19	NA	10	*ɛ.j Constraint Max.	constituency	dissimilation	NA	30
40	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_vowel-consonant.dissimilation_minimal_*ɛ.j.constraint.positive.evidence	phonological	segmental	vowel-consonant.dissimilation	minimal	*ɛ.j.constraint.positive.evidence	19	19	3	0.1	1	0.03	30	31	ayau1235_verbal	19	NA	10	*ɛ.j Constraint Min.	constituency	dissimilation	NA	30
41	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_accent_maximal	phonological	suprasegmental	accent	maximal	NA	15	20	2	0.07	6	0.2	30	31	ayau1235_verbal	19	NA	10	Stress Max.	constituency	stress	NA	30
42	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_accent_minimal_positive.evidence	phonological	suprasegmental	accent	minimal	positive.evidence	19	20	1	0.03	2	0.07	30	31	ayau1235_verbal	19	NA	10	Stress Min.	constituency	stress	NA	30
43	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_neutralization_maximal_obligatory.tone.neutralization	phonological	suprasegmental	neutralization	maximal	obligatory.tone.neutralization	15	21	2	0.07	7	0.23	30	31	ayau1235_verbal	19	NA	10	*3.24 Neutral. Max.	constituency	tone	NA	30
44	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_neutralization_minimal_obligatory.tone.neutralization	phonological	suprasegmental	neutralization	minimal	obligatory.tone.neutralization	19	19	3	0.1	1	0.03	30	31	ayau1235_verbal	19	NA	10	*3.24 Neutral. Min.	constituency	tone	NA	30
45	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_tone.sandhi_maximal_no.prosodic.restrictions	phonological	suprasegmental	tone.sandhi	maximal	no.prosodic.restrictions	2	31	1	0.03	30	1	30	31	ayau1235_verbal	19	NA	10	Poss. Sandhi Max.	constituency	tone	NA	30
46	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_tone.sandhi_maximal_sandhi.blocking	phonological	suprasegmental	tone.sandhi	maximal	sandhi.blocking	15	21	2	0.07	7	0.23	30	31	ayau1235_verbal	19	NA	10	Sandhi Blocking Max.	constituency	tone	NA	30
47	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_tone.sandhi_minimal_optional.tone.sandhi	phonological	suprasegmental	tone.sandhi	minimal	optional.tone.sandhi	15	28	7	0.23	14	0.47	30	31	ayau1235_verbal	19	NA	10	Poss. Sandhi Min.	constituency	tone	NA	30
48	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_tone.sandhi_minimal_sandhi.blocking	phonological	suprasegmental	tone.sandhi	minimal	sandhi.blocking	15	19	5	0.17	5	0.17	30	31	ayau1235_verbal	19	NA	10	Sandhi Blocking Min.	constituency	tone	NA	30
49	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_tone.sandhi_obligatory.sandhi	phonological	suprasegmental	tone.sandhi	NA	obligatory.sandhi	15	28	7	0.23	14	0.47	30	31	ayau1235_verbal	19	NA	10	Oblig. Sandhi	constituency	tone	NA	30
50	Central Alaskan Yupik	cent2127	cent2127_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	4	16	1	0.05	13	0.68	19	21	cent2127_verbal	2	4	NA	Ciscat. Sel. Max.	constituency	morphosyntactic	NA	19
51	Central Alaskan Yupik	cent2127	cent2127_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	2	16	9	0.47	15	0.79	19	21	cent2127_verbal	2	4	NA	Ciscat. Sel. Min.	constituency	morphosyntactic	NA	19
52	Central Alaskan Yupik	cent2127	cent2127_v_deviations_cumulative.exponence_cumulative.exponence.and.suppletion.involving.negation	indeterminate	deviations	cumulative.exponence	NA	cumulative.exponence.and.suppletion.involving.negation	4	12	1	0.05	9	0.47	19	21	cent2127_verbal	2	4	NA	Cumul. Exp.	constituency	indeterminate	NA	19
53	Central Alaskan Yupik	cent2127	cent2127_v_deviations_extended.exponence_nonbiunique.marking.of.mood.and.person/number.of.s/a/o	indeterminate	deviations	extended.exponence	NA	nonbiunique.marking.of.mood.and.person/number.of.s/a/o	11	16	1	0.05	6	0.32	19	21	cent2127_verbal	2	4	NA	Extend. Exp.	constituency	indeterminate	NA	19
54	Central Alaskan Yupik	cent2127	cent2127_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	2	20	4	0.21	19	1	19	21	cent2127_verbal	2	4	NA	Free Ocurr. Max.	constituency	indeterminate	NA	19
55	Central Alaskan Yupik	cent2127	cent2127_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	2	16	9	0.47	15	0.79	19	21	cent2127_verbal	2	4	NA	Free Ocurr. Min.	constituency	indeterminate	NA	19
56	Central Alaskan Yupik	cent2127	cent2127_v_noninterruption	morphosyntactic	noninterruption	NA	NA	NA	2	16	9	0.47	15	0.79	19	21	cent2127_verbal	2	4	NA	Non-interrupt.	constituency	morphosyntactic	NA	19
57	Central Alaskan Yupik	cent2127	cent2127_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	2	16	9	0.47	15	0.79	19	21	cent2127_verbal	2	4	NA	Non-permut. Rigid	constituency	morphosyntactic	NA	19
58	Central Alaskan Yupik	cent2127	cent2127_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	2	20	4	0.21	19	1	19	21	cent2127_verbal	2	4	NA	Non-permut. Scope	constituency	morphosyntactic	NA	19
59	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement.say	morphosyntactic	recursion.based	complementation	NA	complement.say	2	16	9	0.47	15	0.79	19	21	cent2127_verbal	2	4	NA	Rec. Compl. Say	constituency	morphosyntactic	NA	19
60	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement1	morphosyntactic	recursion.based	complementation	NA	complement1	2	3	1	0.05	2	0.11	19	21	cent2127_verbal	2	4	NA	Rec. Compl. 1	constituency	morphosyntactic	NA	19
61	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement2	morphosyntactic	recursion.based	complementation	NA	complement2	2	4	1	0.05	3	0.16	19	21	cent2127_verbal	2	4	NA	Rec. Compl. 2	constituency	morphosyntactic	NA	19
62	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement3	morphosyntactic	recursion.based	complementation	NA	complement3	2	7	1	0.05	6	0.32	19	21	cent2127_verbal	2	4	NA	Rec. Compl. 3	constituency	morphosyntactic	NA	19
63	Central Alaskan Yupik	cent2127	cent2127_v_repair_maximal	indeterminate	repair	NA	maximal	NA	2	20	4	0.21	19	1	19	21	cent2127_verbal	2	4	NA	Repair Max.	constituency	indeterminate	NA	19
64	Central Alaskan Yupik	cent2127	cent2127_v_repair_minimal	indeterminate	repair	NA	minimal	NA	2	16	9	0.47	15	0.79	19	21	cent2127_verbal	2	4	NA	Repair Min.	constituency	indeterminate	NA	19
65	Central Alaskan Yupik	cent2127	cent2127_v_segmental_consonant.coalescence_uvular-velar.consonant.coalescence	phonological	segmental	consonant.coalescence	NA	uvular-velar.consonant.coalescence	2	16	9	0.47	15	0.79	19	21	cent2127_verbal	2	4	NA	Cons. Coal.	constituency	assimilation	NA	19
66	Central Alaskan Yupik	cent2127	cent2127_v_segmental_consonant.deletion_vvv.clusteravoidance	phonological	segmental	consonant.deletion	NA	vvv.clusteravoidance	2	16	9	0.47	15	0.79	19	21	cent2127_verbal	2	4	NA	V-Clust. Avoid.	constituency	assimilation	NA	19
67	Central Alaskan Yupik	cent2127	cent2127_v_suprasegmental_accent_maximal	phonological	suprasegmental	accent	maximal	NA	2	20	4	0.21	19	1	19	21	cent2127_verbal	2	4	NA	Stress Max.	constituency	stress	NA	19
68	Central Alaskan Yupik	cent2127	cent2127_v_suprasegmental_accent_minimal	phonological	suprasegmental	accent	minimal	NA	2	16	9	0.47	15	0.79	19	21	cent2127_verbal	2	4	NA	Stress Min.	constituency	stress	NA	19
69	Chácobo	chac1251	chac1251_n_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	4	12	2	0.08	9	0.75	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
70	Chácobo	chac1251	chac1251_n_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	4	4	3	0.12	1	0.08	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
71	Chácobo	chac1251	chac1251_n_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	3	12	3	0.12	10	0.83	12	12	chac1251_nominal	8	NA	4	NA	constituency	indeterminate	NA	26
72	Chácobo	chac1251	chac1251_n_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	4	4	3	0.12	1	0.08	12	12	chac1251_nominal	8	NA	4	NA	constituency	indeterminate	NA	26
73	Chácobo	chac1251	chac1251_n_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	3	6	3	0.12	4	0.33	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
74	Chácobo	chac1251	chac1251_n_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	3	5	1	0.04	3	0.25	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
75	Chácobo	chac1251	chac1251_n_nonpermutability_maximal	morphosyntactic	nonpermutability	NA	maximal	NA	2	12	1	0.04	11	0.92	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
76	Chácobo	chac1251	chac1251_n_nonpermutability_rigid_minimal	morphosyntactic	nonpermutability	rigid	minimal	NA	2	2	1	0.04	1	0.08	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
77	Chácobo	chac1251	chac1251_n_nonpermutability_scopal_minimal	morphosyntactic	nonpermutability	scopal	minimal	NA	2	6	1	0.04	5	0.42	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
78	Chácobo	chac1251	chac1251_n_proform	morphosyntactic	proform	NA	NA	NA	1	12	2	0.08	12	1	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
79	Chácobo	chac1251	chac1251_n_recursion.based_compound	morphosyntactic	recursion.based	NA	NA	compound	3	4	6	0.23	2	0.17	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
80	Chácobo	chac1251	chac1251_n_recursion.based_maximal_tihi.conjunction	morphosyntactic	recursion.based	NA	maximal	tihi.conjunction	2	8	1	0.04	7	0.58	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
81	Chácobo	chac1251	chac1251_n_recursion.based_minimal_tihi.conjunction	indeterminate	recursion.based	NA	minimal	tihi.conjunction	3	6	3	0.12	4	0.33	12	12	chac1251_nominal	8	NA	4	NA	constituency	indeterminate	NA	26
82	Chácobo	chac1251	chac1251_n_recursion.based_naxeni	morphosyntactic	recursion.based	NA	NA	naxeni	3	4	6	0.23	2	0.17	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
83	Chácobo	chac1251	chac1251_n_recursion.based_possession_maximal_genitive	morphosyntactic	recursion.based	possession	maximal	genitive	2	10	1	0.04	9	0.75	12	12	chac1251_nominal	8	NA	4	NA	constituency	morphosyntactic	NA	26
84	Chácobo	chac1251	chac1251_n_recursion.based_possession_minimal_genitive	indeterminate	recursion.based	possession	minimal	genitive	4	4	3	0.12	1	0.08	12	12	chac1251_nominal	8	NA	4	NA	constituency	indeterminate	NA	26
85	Chácobo	chac1251	chac1251_n_segmental_consonant.assimilation_alveolarization	phonological	segmental	consonant.assimilation	NA	alveolarization	3	4	6	0.23	2	0.17	12	12	chac1251_nominal	8	NA	4	NA	constituency	assimilation	NA	26
86	Chácobo	chac1251	chac1251_n_segmental_consonant.insertion_glottal.stop.insertion	phonological	segmental	consonant.insertion	NA	glottal.stop.insertion	3	4	6	0.23	2	0.17	12	12	chac1251_nominal	8	NA	4	NA	constituency	insertion	NA	26
87	Chácobo	chac1251	chac1251_n_segmental_vowel.deletion_apocope	phonological	segmental	vowel.deletion	NA	apocope	4	12	2	0.08	9	0.75	12	12	chac1251_nominal	8	NA	4	NA	constituency	deletion	NA	26
88	Chácobo	chac1251	chac1251_n_suprasegmental_accent_maximal_intensity	phonological	suprasegmental	accent	maximal	intensity	3	12	3	0.12	10	0.83	12	12	chac1251_nominal	8	NA	4	NA	constituency	stress	NA	26
89	Chácobo	chac1251	chac1251_n_suprasegmental_accent_minimal_intensity	phonological	suprasegmental	accent	minimal	intensity	3	4	6	0.23	2	0.17	12	12	chac1251_nominal	8	NA	4	NA	constituency	stress	NA	26
90	Chácobo	chac1251	chac1251_n_suprasegmental_tone.deletion_long.distance.tone.reduction.h...h>l...h	phonological	suprasegmental	tone.deletion	NA	long.distance.tone.reduction.h...h>l...h	4	10	1	0.04	7	0.58	12	12	chac1251_nominal	8	NA	4	NA	constituency	tone	NA	26
91	Chácobo	chac1251	chac1251_n_suprasegmental_tone.deletion_maximal_h.deletion	phonological	suprasegmental	tone.deletion	maximal	h.deletion	1	12	2	0.08	12	1	12	12	chac1251_nominal	8	NA	4	NA	constituency	tone	NA	26
92	Chácobo	chac1251	chac1251_n_suprasegmental_tone.deletion_minimal_h.deletion	phonological	suprasegmental	tone.deletion	minimal	h.deletion	3	12	3	0.12	10	0.83	12	12	chac1251_nominal	8	NA	4	NA	constituency	tone	NA	26
93	Chácobo	chac1251	chac1251_n_suprasegmental_tone.insertion_maximal_h.tone.insertion	phonological	suprasegmental	tone.insertion	maximal	h.tone.insertion	3	6	3	0.12	4	0.33	12	12	chac1251_nominal	8	NA	4	NA	constituency	tone	NA	26
94	Chácobo	chac1251	chac1251_n_suprasegmental_tone.insertion_minimal_h.tone.insertion	phonological	suprasegmental	tone.insertion	minimal	h.tone.insertion	3	4	6	0.23	2	0.17	12	12	chac1251_nominal	8	NA	4	NA	constituency	tone	NA	26
95	Chácobo	chac1251	chac1251_v_ciscategorial.selection_broad	morphosyntactic	ciscategorial.selection	broad	NA	NA	1	28	1	0.03	28	1	28	28	chac1251_verbal	8	NA	4	NA	constituency	morphosyntactic	NA	38
96	Chácobo	chac1251	chac1251_v_ciscategorial.selection_narrow_maximal	morphosyntactic	ciscategorial.selection	narrow	maximal	NA	8	24	3	0.08	17	0.61	28	28	chac1251_verbal	8	NA	4	NA	constituency	morphosyntactic	NA	38
97	Chácobo	chac1251	chac1251_v_ciscategorial.selection_narrow_minimal	morphosyntactic	ciscategorial.selection	narrow	minimal	NA	8	16	1	0.03	9	0.32	28	28	chac1251_verbal	8	NA	4	NA	constituency	morphosyntactic	NA	38
98	Chácobo	chac1251	chac1251_v_deviations_cumulative.exponence_optional	indeterminate	deviations	cumulative.exponence	NA	optional	7	9	1	0.03	3	0.11	28	28	chac1251_verbal	8	NA	4	NA	constituency	indeterminate	NA	38
99	Chácobo	chac1251	chac1251_v_deviations_suppletion_intransitive.vowel.allomorphy	indeterminate	deviations	suppletion	NA	intransitive.vowel.allomorphy	8	9	NA	NA	2	0.07	28	28	chac1251_verbal	8	NA	4	NA	lexphon	allomorphy	NA	38
100	Chácobo	chac1251	chac1251_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	7	25	2	0.05	19	0.68	28	28	chac1251_verbal	8	NA	4	NA	constituency	indeterminate	NA	38
101	Chácobo	chac1251	chac1251_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	8	24	3	0.08	17	0.61	28	28	chac1251_verbal	8	NA	4	NA	constituency	indeterminate	NA	38
102	Chácobo	chac1251	chac1251_v_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	7	20	1	0.03	14	0.5	28	28	chac1251_verbal	8	NA	4	NA	constituency	morphosyntactic	NA	38
103	Chácobo	chac1251	chac1251_v_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	7	11	2	0.05	5	0.18	28	28	chac1251_verbal	8	NA	4	NA	constituency	morphosyntactic	NA	38
104	Chácobo	chac1251	chac1251_v_nonpermutability_rigid_maximal	morphosyntactic	nonpermutability	rigid	maximal	NA	7	26	1	0.03	20	0.71	28	28	chac1251_verbal	8	NA	4	NA	constituency	morphosyntactic	NA	38
105	Chácobo	chac1251	chac1251_v_nonpermutability_rigid_minimal	morphosyntactic	nonpermutability	rigid	minimal	NA	7	10	4	0.11	4	0.14	28	28	chac1251_verbal	8	NA	4	NA	constituency	morphosyntactic	NA	38
106	Chácobo	chac1251	chac1251_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	7	12	1	0.03	6	0.21	28	28	chac1251_verbal	8	NA	4	NA	constituency	morphosyntactic	NA	38
107	Chácobo	chac1251	chac1251_v_recursion.based_asyndetic_maximal_asyndetic	morphosyntactic	recursion.based	asyndetic	maximal	asyndetic	6	17	2	0.05	12	0.43	28	28	chac1251_verbal	8	NA	4	NA	constituency	morphosyntactic	NA	38
108	Chácobo	chac1251	chac1251_v_recursion.based_asyndetic_minimal_asyndetic	indeterminate	recursion.based	asyndetic	minimal	asyndetic	7	13	1	0.03	7	0.25	28	28	chac1251_verbal	8	NA	4	NA	constituency	indeterminate	NA	38
109	Chácobo	chac1251	chac1251_v_recursion.based_nominalization_maximal_agentive.nominalization	morphosyntactic	recursion.based	nominalization	maximal	agentive.nominalization	7	24	4	0.11	18	0.64	28	28	chac1251_verbal	8	NA	4	NA	constituency	morphosyntactic	NA	38
